ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Item Description,Molecule/Test Type,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
60,110-ZM-T01,Pre-PQ Process,SCMS-221,ASN-223,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/1/2006,16-Feb-07,16-Feb-07,16-Feb-07,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,Yes,643,Freight Included in Commodity Cost,
61,110-ZM-T01,Pre-PQ Process,SCMS-226,ASN-137,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07,HRDT,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",,Test kit,20,2500,100000.0,40.0,2.0,Yes,853,13569.49,
62,102-NG-T01,Pre-PQ Process,SCMS-230,ASN-144,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,10-Jan-07,10-Jan-07,10-Jan-07,HRDT,HIV test,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",,Test kit,100,10,850.0,85.0,0.85,Yes,Weight Captured Separately,Invoiced Separately,
64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/2006,27-Feb-07,27-Feb-07,27-Feb-07,ARV,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,Yes,7416,64179.42,
65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Jan-07,18-Jan-07,18-Jan-07,HRDT,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",,Test kit,100,750,60000.0,80.0,0.8,Yes,256,1760.32,
68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,1/10/2007,19-Mar-07,19-Mar-07,19-Mar-07,ARV,Pediatric,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,200mg,Tablet,60,579,14764.5,25.5,0.42,Yes,Weight Captured Separately,Freight Included in Commodity Cost,
69,102-NG-T01,Pre-PQ Process,SCMS-354,ASN-608,Nigeria,PMO - US,Direct Drop,CIP,,Pre-PQ Process,Date Not Captured,7-May-07,7-May-07,7-May-07,HRDT,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",,Test kit,100,1500,120000.0,80.0,0.8,Yes,Weight Captured Separately,Freight Included in Commodity Cost,192.0
80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,29-Mar-07,29-Mar-07,29-Mar-07,HRDT,HIV test,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",,Test kit,30,2000,33000.0,16.5,0.55,Yes,710,3120.7,
87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/12/2007,6-Jun-07,6-Jun-07,6-Jun-07,ARV,Pediatric,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,Yes,162,912.96,
92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2007,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",,Test kit,100,1000,80000.0,80.0,0.8,Yes,341,2682.47,128.0
96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/17/2007,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",,Test kit,20,7500,202500.0,27.0,1.35,Yes,2278,15893.71,
108,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/13/2007,2-Oct-07,2-Oct-07,2-Oct-07,ARV,Pediatric,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,200mg,Tablet,60,5513,140581.5,25.5,0.42,Yes,2126,Freight Included in Commodity Cost,224.93
115,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007,15-Oct-07,15-Oct-07,15-Oct-07,ARV,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,Yes,941,4193.49,3.07
116,108-VN-T01,Pre-PQ Process,SCMS-759,ASN-632,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/4/2007,27-Aug-07,27-Aug-07,27-Aug-07,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,500,41095.0,82.19,0.68,Yes,117,1767.38,65.75
130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/2007,13-Aug-07,21-Aug-07,21-Aug-07,HRDT,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",,Test kit,100,750,53992.5,71.99,0.72,Yes,171,3518.38,86.39
134,100-HT-T01,Pre-PQ Process,SCMS-10130,ASN-616,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/2007,25-Aug-07,25-Aug-07,25-Aug-07,HRDT,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",,Test kit,100,25,8750.0,350.0,3.5,Yes,60,3097.85,14.0
138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,16-Oct-07,16-Oct-07,16-Oct-07,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",,Test kit,25,10000,200000.0,20.0,0.8,Yes,3335,27869.74,320.0
139,109-TZ-T01,Pre-PQ Process,SCMS-10290,ASN-788,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",,Test kit,25,10000,200000.0,20.0,0.8,Yes,3335,28461.1,320.0
140,109-TZ-T01,Pre-PQ Process,SCMS-10300,ASN-856,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",,Test kit,25,10000,200000.0,20.0,0.8,Yes,3335,28359.8,320.0
161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/2007,20-Nov-07,20-Nov-07,20-Nov-07,ARV,Adult,"Stavudine 30mg, capsules, 60 Caps",Stavudine,30mg,Capsule,60,64000,99200.0,1.55,0.03,Yes,4228,12237.61,158.72
176,102-NG-T01,Pre-PQ Process,SCMS-11750,ASN-745,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/28/2007,3-Oct-07,3-Oct-07,3-Oct-07,HRDT,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",,Test kit,20,10000,270000.0,27.0,1.35,Yes,3263,20885.78,432.0
262,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,11/12/2007,29-Jan-08,29-Jan-08,29-Jan-08,ARV,Pediatric,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.51
269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/2007,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,300mg,Tablet,30,1000,17000.0,17.0,0.57,Yes,76,2282.57,27.2
270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/2007,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,300mg,Tablet,60,400,3352.0,8.38,0.14,Yes,23,2149.05,5.36
284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/10/2007,31-Jan-08,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Yes,99,0.75,0.02
305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,5-Feb-08,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,650,6.5,0.01,0.0,Yes,Weight Captured Separately,Invoiced Separately,0.01
343,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,1/4/2008,21-Jan-08,4-Jan-08,4-Jan-08,ARV,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,1mg/ml,Powder for oral solution,200,200,340.0,1.7,0.01,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.54
361,125-HT-T01,Pre-PQ Process,SCMS-14080,ASN-1318,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Feb-08,18-Feb-08,18-Feb-08,HRDT,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",,Test kit,100,2,278.0,139.0,1.39,Yes,Weight Captured Separately,Invoiced Separately,0.44
391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008,17-Jun-08,17-Jun-08,17-Jun-08,HRDT,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",,Test kit,40,476,36176.0,76.0,1.9,Yes,509,5446.51,57.88
392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/3/2008,19-Mar-09,19-Mar-09,19-Mar-09,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",,Test kit,25,659,13180.0,20.0,0.8,Yes,206,2656.12,25.83
398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,9-Apr-08,1-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,240,2.4,0.01,0.0,Yes,Weight Captured Separately,Invoiced Separately,0.0
399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,28-Jul-08,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,213,2.13,0.01,0.0,Yes,14,360,0.0
400,117-ET-T01,Pre-PQ Process,SCMS-18430,ASN-1465,Ethiopia,PMO - US,Direct Drop,DDP,,Pre-PQ Process,2/29/2008,11-Mar-08,11-Mar-08,11-Mar-08,HRDT,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",,Test kit,100,63,13399.25,212.69,2.13,Yes,Weight Captured Separately,Freight Included in Commodity Cost,21.44
410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/2008,17-Nov-08,17-Nov-08,17-Nov-08,HRDT,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",,Test kit,100,1634,117631.66,71.99,0.72,Yes,373,4112.46,188.21
411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/13/2008,17-Apr-08,17-Apr-08,17-Apr-08,HRDT,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",,Test kit,20,1425,38475.0,27.0,1.35,Yes,483,5468.88,61.56
414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/18/2008,4-Jun-08,4-Jun-08,4-Jun-08,HRDT,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",,Test kit,100,142,10222.58,71.99,0.72,Yes,33,1715.17,16.36
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,3-Jun-08,3-Jun-08,3-Jun-08,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,8400,96432.0,11.48,0.38,Yes,654,4051.34,154.29
422,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Adult,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,200mg,Capsule,270,6,405.06,67.51,0.25,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.65
423,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,No,Weight Captured Separately,Freight Included in Commodity Cost,1.39
438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/31/2008,12-Jul-08,12-Jul-08,12-Jul-08,ARV,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,Yes,81,2211.05,4.48
459,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/2008,25-Apr-08,7-Apr-08,7-Apr-08,ARV,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,25mg,Chewable/dispersible tablet,60,6,77.1,12.85,0.21,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.12
464,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2008,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,9-Jul-08,9-Jul-08,HRDT,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",,Test kit,100,5498,439785.02,79.99,0.8,Yes,1251,16090.22,703.66
465,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2011,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,4-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Yes,Weight Captured Separately,Invoiced Separately,0.09
466,117-ET-T01,Pre-PQ Process,SCMS-21550,ASN-1741,Ethiopia,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,9-May-08,9-May-08,9-May-08,HRDT,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",,Test kit,20,15,691.42,46.09,2.3,Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.11
530,108-VN-T01,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/2008,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,300mg,Tablet,30,1344,18359.04,13.66,0.46,Yes,1537,13507.92,29.37
531,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2783,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,20-Aug-08,20-Aug-08,ARV,Adult,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,20mg,Capsule,60,20,103.4,5.17,0.09,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.2
532,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Adult,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,Yes,Weight Captured Separately,Freight Included in Commodity Cost,3.05
533,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,No,Weight Captured Separately,Freight Included in Commodity Cost,1.64
535,109-TZ-T01,Pre-PQ Process,SCMS-23610,ASN-2167,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/15/2008,2-Sep-08,2-Sep-08,2-Sep-08,ARV,Adult,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,Yes,117,645.1,98.35
543,106-HT-T01,Pre-PQ Process,SCMS-23840,ASN-2504,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/20/2008,30-Sep-08,30-Sep-08,30-Sep-08,HRDT,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",,Test kit,100,28,9800.0,350.0,3.5,Yes,109,782.13,15.68
551,106-HT-T01,Pre-PQ Process,SCMS-24020,ASN-2865,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/23/2008,24-Nov-08,24-Nov-08,24-Nov-08,HRDT,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",,Test kit,100,84,11676.0,139.0,1.39,Yes,54,871.57,22.88
598,116-ZA-T01,Pre-PQ Process,SCMS-25540,ASN-2295,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,12-Jun-08,9-Jun-08,9-Jun-08,ARV,Adult,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Abacavir,300mg,Tablet - blister,60,30,1049.4,34.98,0.58,Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.68
610,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,150mg,Tablet,60,38640,92736.0,2.4,0.04,Yes,2719,18614.72,148.38
630,112-NG-T01,Pre-PQ Process,SCMS-26560,ASN-2366,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/2/2008,25-Feb-09,9-Sep-08,9-Sep-08,ACT,ACT,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,Yes,115,1755.87,2.48
